iter	Passed	Remaining
0	1	107
1	1	86
2	4	129
3	5	124
4	6	119
5	7	112
6	7	105
7	8	98
8	9	91
9	9	86
10	10	82
11	10	79
12	11	79
13	12	77
14	13	76
15	14	75
16	15	73
17	15	71
18	16	71
19	17	69
20	18	67
21	18	66
22	19	64
23	19	62
24	20	61
25	20	59
26	21	58
27	22	56
28	22	55
29	23	54
30	23	52
31	24	51
32	24	50
33	25	49
34	26	49
35	27	48
36	27	47
37	28	46
38	29	45
39	30	45
40	31	44
41	31	43
42	32	42
43	32	41
44	33	40
45	33	39
46	34	38
47	34	37
48	35	36
49	35	35
50	36	35
51	37	34
52	37	33
53	38	32
54	38	31
55	39	30
56	39	30
57	40	29
58	41	28
59	42	28
60	43	28
61	44	27
62	45	26
63	46	25
64	47	25
65	48	24
66	49	24
67	50	23
68	51	22
69	51	22
70	52	21
71	53	20
72	53	19
73	54	19
74	54	18
75	55	17
76	56	16
77	58	16
78	59	15
79	61	15
80	61	14
81	62	13
82	63	12
83	63	12
84	64	11
85	64	10
86	65	9
87	66	9
88	67	8
89	67	7
90	68	6
91	68	5
92	69	5
93	71	4
94	72	3
95	73	3
96	74	2
97	75	1
98	76	0
99	77	0
